feature,family
matchup_completionsAvgBefore,Passing
matchup_passAttemptsAvgBefore,Passing
matchup_netPassingYardsAvgBefore,Passing
matchup_passingTDsAvgBefore,Passing
matchup_yardsPerPassAttemptBefore,Passing
matchup_rushingAttemptsAvgBefore,Rushing
matchup_rushingYardsAvgBefore,Rushing
matchup_rushingTDsAvgBefore,Rushing
matchup_yardsPerRushAttemptBefore,Rushing
matchup_totalYardsAvgBefore,Total Offense
matchup_pointsForAvgBefore,Scoring / Results
matchup_pointsAgainstAvgBefore,Scoring / Results
matchup_pointDifferentialAvgBefore,Scoring / Results
matchup_winPctBefore,Scoring / Results
matchup_turnoversAvgBefore,Turnovers
matchup_interceptionsAvgBefore,Turnovers
matchup_fumblesLostAvgBefore,Turnovers
matchup_firstDownsAvgBefore,Other
matchup_possessionSecondsAvgBefore,Other
matchup_thirdDownAttemptsAvgBefore,Situational
matchup_thirdDownConversionsAvgBefore,Situational
matchup_thirdDownPctBefore,Situational
matchup_fourthDownAttemptsAvgBefore,Situational
matchup_fourthDownConversionsAvgBefore,Situational
matchup_fourthDownPctBefore,Situational
matchup_penaltiesAvgBefore,Penalties
matchup_penaltyYardsAvgBefore,Penalties
matchup_sacksAvgBefore,Defense
matchup_tacklesForLossAvgBefore,Defense
matchup_qbHurriesAvgBefore,Defense
matchup_passesDeflectedAvgBefore,Defense
matchup_pointsForAvgLast3,Scoring / Results
matchup_pointsForAvgLast5,Scoring / Results
matchup_pointsAgainstAvgLast3,Scoring / Results
matchup_pointsAgainstAvgLast5,Scoring / Results
matchup_pointDifferentialAvgLast3,Scoring / Results
matchup_pointDifferentialAvgLast5,Scoring / Results
matchup_netPassingYardsAvgLast3,Passing
matchup_netPassingYardsAvgLast5,Passing
matchup_rushingYardsAvgLast3,Rushing
matchup_rushingYardsAvgLast5,Rushing
matchup_totalYardsAvgLast3,Total Offense
matchup_totalYardsAvgLast5,Total Offense
matchup_turnoversAvgLast3,Turnovers
matchup_turnoversAvgLast5,Turnovers
matchup_sacksAvgLast3,Defense
matchup_sacksAvgLast5,Defense
matchup_tacklesForLossAvgLast3,Defense
matchup_tacklesForLossAvgLast5,Defense
matchup_qbHurriesAvgLast3,Defense
matchup_qbHurriesAvgLast5,Defense
matchup_passesDeflectedAvgLast3,Defense
matchup_passesDeflectedAvgLast5,Defense
matchup_offensePPA,Advanced Metrics
matchup_offenseSuccessRate,Advanced Metrics
matchup_offenseExplosiveness,Advanced Metrics
matchup_defensePPA,Advanced Metrics
matchup_defenseSuccessRate,Advanced Metrics
matchup_defenseExplosiveness,Advanced Metrics
matchup_elo,Elo
